622,Oriade,OS
623,Orolu,OS
624,Osogbo,OS
625,Afijio,OY
626,Akinyele,OY
627,Atiba,OY
628,Atisbo,OY
629,Egbeda,OY
630,Ibadan North,OY
631,Ibadan North East,OY
632,Ibadan North West,OY
633,Ibadan South-East,OY
634,Ibadan South West,OY
635,Ibarapa Central,OY
636,Ibarapa East,OY
637,Ibarapa North,OY
638,Ido,OY
639,Irepo,OY
640,Iseyin,OY
641,Itesiwaju,OY
642,Iwajowa,OY
643,Kajola,OY
644,Lagelu,OY
645,Ogbomoso North,OY
646,Ogbomoso South,OY
647,Ogo-Oluwa,OY
648,Olorunsogo,OY
649,Oluyole,OY
650,Ona-Ara,OY
651,Oorelope,OY
652,Ori Ire,OY
653,Oyo East,OY
654,Oyo West,OY
655,Saki East,OY
656,Saki West,OY
657,Barikin Ladi,PL
658,Bokkos,PL
659,Jos East,PL
660,Jos North,PL
661,Jos South,PL
662,Kanam,PL
663,Kanke,PL
664,Langtang North,PL
665,Langtang South,PL
666,Mangu,PL
667,Mikang,PL
668,Pankshin,PL
669,Qua'an Pan,PL
670,Riyom,PL
671,Shendam,PL
672,Wase,PL
673,Abua-Odual,RI
674,Ahoada East,RI
675,Ahoada West,RI
676,Akuku Toru,RI
677,Andoni,RI
678,Asari-Toru,RI
679,Bonny,RI
680,Degema,RI
681,Eleme,RI
682,Emohua,RI
683,Etche,RI
684,Gokana,RI
685,Ikwerre,RI
686,Khana,RI
687,Obio/Akpor,RI
688,Ogba/Egbema/Ndoni,RI
689,Ogu/Bolo,RI
690,Okrika,RI
691,Omuma,RI
692,Opobo/Nekoro,RI
693,Oyigbo,RI
694,Port Harcourt,RI
695,Tai?,RI
696,Binji,SO
697,Bodinga,SO
698,Dange/shuni,SO
699,Gada,SO
700,Goronyo,SO
701,Gudu,SO
702,Gwadabawa,SO
703,Illela,SO
704,Isa,SO
705,Kware,SO
706,kebbe,SO
707,Rabah,SO
708,S/birni,SO
709,Shagari,SO
710,Silame,SO
711,Sokoto North,SO
712,Sokoto South,SO
713,Tambuwal,SO
714,Tangaza,SO
715,Tureta,SO
716,Wamakko,SO
717,Wurno,SO
718,Yabo,SO
719,Ardo - kola,TA
720,Bali,TA
721,Donga,TA
722,Gashaka,TA
723,Gassol,TA
724,Ibi,TA
725,Jalingo,TA
726,Karim-Lamido,TA
727,Kurmi,TA
728,Lau,TA
729,Sardauna,TA
730,Takum,TA
731,Ussa,TA
732,Wukari,TA
733,Yorro,TA
734,Zing,TA
735,Bade,YO
736,Bursari,YO
737,Damaturu,YO
738,Fika,YO
739,Fune,YO
740,Geidam,YO
741,Gujba,YO
742,Gulani,YO
743,Jakusko,YO
744,Karasawa,YO
745,Machina,YO
746,Nangere,YO
747,Nguru,YO
748,Potiskum,YO
749,Tarmuwa,YO
750,Yunusari,YO
751,Yusufari,YO
752,Anka,ZA
753,Bakura,ZA
754,Birnin Magaji,ZA
755,Bukkuyum,ZA
756,Bungudu,ZA
757,Gummi,ZA
758,Gusau,ZA
759,Kaura Namoda,ZA
760,Maradun,ZA
761,Maru,ZA
762,Shinkafi,ZA
763,Talata Mafara,ZA
764,Tsafe,ZA
765,Zurmi,ZA
